No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
2,NOK,27.79B,17.09,10.42,1.20,1.20,1.46,2.92,24.14,163.90%,6.04%,33.20%,14.24%,-1.20%,4.94,-0.40%,"24,636,207"
3,WIT,27.67B,19.36,15.48,2.15,2.68,3.23,7.14,70.32,16.90%,16.61%,17.90%,9.00%,7.50%,5.11,-0.39%,"2,395,558"
4,ASX,11.16B,4.95,6.16,0.14,0.55,1.38,4.54,3.84,127.50%,-2.75%,-,34.20%,-,5.45,0.00%,"8,100,593"
5,UMC,15.57B,7.49,6.76,0.22,2.10,0.06,2.52,7.97,90.90%,-20.59%,47.80%,34.10%,7.60%,6.39,2.24%,"7,094,298"
6,ETWO,2.07B,-,20.91,-,3.99,0.66,16.03,-,-240.20%,24.53%,-,27.70%,-,6.90,-2.40%,"2,836,523"
7,ERIC,23.20B,10.61,9.43,1.15,1.01,1.91,2.53,9.90,29.60%,14.37%,92.90%,9.23%,1.10%,6.98,-3.32%,"10,516,387"
8,PLTR,15.31B,-,41.02,-,8.78,6.69,6.23,58.84,58.60%,244.44%,-,25.71%,-,7.63,2.01%,"29,151,953"
9,STNE,2.55B,-,3.45,-,1.46,1.21,2.10,4.35,-251.30%,92.54%,-59.80%,4.11%,69.40%,9.43,1.62%,"3,092,670"
10,CLVT,7.88B,-,11.93,-,3.35,0.81,21.90,97.11,32.10%,12.91%,-,14.60%,-,11.58,-1.61%,"5,294,367"
11,EVCM,2.32B,-,25.60,-,4.11,2.42,22.08,42.86,-24.10%,27.67%,-,30.66%,-,11.93,1.10%,"222,683"
12,XM,6.88B,-,630.00,-,5.37,3.63,8.74,-,-278.50%,-,-,30.00%,41.40%,11.97,2.13%,"958,357"
13,COMM,2.54B,-,5.39,-,0.29,-,11.09,-,20.20%,34.43%,-33.60%,23.90%,11.80%,12.17,2.96%,"1,988,483"
14,HPE,16.36B,4.66,6.08,0.69,0.58,0.83,4.35,16.41,3.60%,7.15%,6.70%,6.72%,-1.70%,13.03,-1.14%,"12,534,624"
15,TWKS,4.03B,-,21.53,-,3.29,5.58,14.68,73.55,-236.60%,27.98%,-,21.80%,-,13.39,-0.96%,"350,654"
16,PATH,7.44B,-,179.12,-,7.46,4.23,4.32,-,-549.60%,600.00%,-,45.20%,-,14.33,0.07%,"8,654,876"
17,VIAV,3.18B,244.07,14.43,16.27,2.46,4.86,5.66,30.10,-76.50%,4.18%,-37.00%,15.00%,9.90%,14.40,1.84%,"1,853,259"
18,PAGS,5.00B,20.04,2.49,0.91,1.93,2.39,11.50,-,-10.40%,27.56%,53.40%,22.12%,55.80%,15.67,0.19%,"2,427,189"
19,FRSH,4.34B,-,-,-,9.90,4.18,3.70,-,-278.00%,37.50%,-,30.00%,-,15.84,9.92%,"5,742,063"
20,XRX,2.47B,-,9.04,-,0.36,0.64,2.14,15.82,-404.10%,71.57%,-25.30%,10.81%,-8.20%,16.04,0.00%,"1,435,664"
22,INFY,74.79B,27.19,21.50,1.84,4.65,8.18,27.48,69.63,15.10%,14.27%,10.80%,14.80%,12.20%,18.08,-2.59%,"16,683,905"
23,PWSC,3.62B,-,21.51,-,6.01,2.33,235.00,32.99,11.40%,9.43%,-,10.40%,-,18.22,1.22%,"424,943"
24,FLEX,8.34B,9.53,7.83,0.58,0.31,2.06,3.15,28.19,60.00%,8.66%,27.10%,16.30%,1.80%,18.37,0.05%,"2,460,021"
